chunk_id,text,page,paragraph,filename,path
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p1_c1,"사 업 보 고 서  
  
 
 
  
                                   (제 55 기) 
  
사업연도 2023년 01월 01일 부터
2023년 12월 31일 까지
금융위원회 
한국거래소 귀중 2024년    3월    12일 
제출대상법인 유형 : 주권상장법인 
면제사유발생 : 해당사항 없음 
회      사      명 : 삼성전자주식회사 
대   표    이   사 : 한       종       희 
본  점  소  재  지 : 경기도 수원시 영통구 삼성로 129(매탄동) 
(전  화) 031-200-1114 
(홈페이지) https://www.samsung.com/sec 
작  성  책  임  자 : (직  책) 재경팀장               (성  명) 김    동    욱 
(전  화) 031-277-7218",1,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p2_c1,"【 대표이사 등의 확인 】  
 
제55기_대표이사 등의 확인서",2,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p3_c1,"I. 회사의 개요    
1. 회사의 개요 
 
가. 회사의 법적ㆍ상업적 명칭 
 
     당사의 명칭은 삼성전자주식회사이고 영문명은 Samsung Electronics Co., Ltd. 
     입니다. 
 
나. 설립일자 
  
     당사는 1969년 1월 13일에 삼성전자공업주식회사로 설립되었으며, 
     1975년 6월 11일 기업공개를 실시하였습니다. 
     당사는 1984년 2월 28일 정기주주총회 결의에 의거하여 상호를  
     삼성전자공업주식회사에서 삼성전자주식회사로 변경하였습니다. 
  
다. 본사의 주소, 전화번호 및 홈페이지 
  
     주소: 경기도 수원시 영통구 삼성로 129(매탄동) 
     전화번호: 031-200-1114 
     홈페이지: https://www.samsung.com/sec 
 
라. 주요 사업의 내용 
 
     당사는 제품의 특성에 따라 DX(Device eXperience), DS(Device Solutions)  
     2개의 부문과 패널 사업을 영위하는 SDC(삼성디스플레이㈜ 및 그 종속기업), 
     전장부품사업 등을 영위하는 Harman(Harman International Industries, Inc.  
     및 그 종속기업)으로 나누어 경영을 하고 있습니다.",3,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p4_c1,"당사는 본사를 거점으로 한국과 DX 부문 산하 해외 9개 지역총괄, DS 부문 산하 해외 5개 지
역총괄의 생산ㆍ판매법인 및 SDC, Harman 산하 종속기업 등 232개의 종속기업으로 구성된
글로벌 전자 기업입니다. 
 
각 부문별 주요 제품은 다음과 같습니다. 
  
[DX 부문] 
  
DX 부문은 TV, 모니터, 냉장고, 세탁기, 에어컨 및 스마트폰, 태블릿, 웨어러블(Wearable)
제품 등을 생산ㆍ판매하는 사업을 영위하고 있습니다. Neo QLED TV 등 프리미엄 기술력을
바탕으로 한 프리미엄 TV, 변화하는 라이프스타일에 대한 깊은 이해를 바탕으로 Lifestyle TV
및 소비자들의 다양한 요구에 맞춘 비스포크(BESPOKE) 제품 등 차별화된 제품, 기술 및 디
자인으로 글로벌 시장을 이끌고 있으며 특히 TV는 2023년까지 18년 연속으로 세계 시장점
유율 1위를 유지하고 있습니다. 또한 핵심제품인 스마트폰은 '갤럭시(GALAXY)' 브랜드를 통
해 프리미엄부터 보급형까지 다양하고 경쟁력 있는 스마트폰 라인업을 활용하여 시장 상황
에 최적화된 제품 포트폴리오를 운영하고 있습니다. 당사는 앞으로도 프리미엄 TV와
Lifestyle TV 시장에서의 혁신 노력을 계속하고, AI 기능 및 에너지 절감 기술로 비스포크
(BESPOKE) 라인업 강화와 새로운 폼팩터가 적용된 신가전 제품의 지속적인 연구를 통해 시
장 패러다임 변화를 선도해 나가겠습니다. 또한 보다 강력한 보안성을 바탕으로 초연결 사회
에서 소비자에게 안전한 On-device AI 및 멀티 디바이스 사용 환경을 제공하기 위해 노력하
겠습니다. 당사는 앞으로도 업계 최고 수준의 R&D 역량을 바탕으로 지속적인 
기술 혁신 및 철저한 미래 준비를 통해 고객에게 새로운 가치를 끊임없이 제공하겠습니다.  부문 주 요  제 품 
DX 부문 TV, 모니터, 냉장고, 세탁기, 에어컨, 
스마트폰 , 네트워크시스템, 컴퓨터 등 
DS 부문 DRAM, NAND Flash, 모바일AP 등 
SDC 스마트폰용 OLED 패널 등 
Harman 디지털 콕핏(Digital Cockpit),  카오디오, 포터블  스피커 등 
※ 당사는 2021년 12월 조직개편을 통해 CE 부문과 IM 부문을 DX 부문으로 통합하였으며, 
   내부 조직체계에 맞추어 SDC를 DS 부문과 별도로 구분하였습니다.",4,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p5_c1,"[DS 부문] 
 
DS 부문은 DRAM, NAND Flash 등 제품을 생산ㆍ판매하는 메모리 반도체 사업과 모바일AP,
카메라 센서칩 등을 설계ㆍ판매하는 System LSI 사업, 반도체 제조 위탁 생산을 하는
Foundry 사업 등으로 구성되어 있습니다.  
 
메모리 반도체 사업은 DRAM, NAND Flash 제품 등에 선단 공정 기술을 적용하고, 
고부가 솔루션 중심의 사업 포트폴리오 운영을 통해 제품을 차별화하고 원가 경쟁력을 제고
하는 등 질적 성장에 주력하여 전 세계 메모리 시장에서 선두 자리를 지속적으로 유지하고
있습니다.  
 
System LSI 사업은 모바일용 반도체 사업에서 차량용 반도체 사업으로 확장을 추진 중이며, 
On-Device AI 적용, 고성능 IP 탑재 등 제품의 차별화를 통해 고객과 협력 강화 및 응용처를
다변화하여 시장 지배력을 확대하는 한편, 차세대 기술 개발도 지속 추진하고 있습니다.  
 
Foundry 사업은 글로벌 시장 수요 회복 지연에 따른 부진 장기화 극복을 위해 Advanced 공
정에서 지속적인 기술 경쟁력 강화를 통해 중장기 수요 확보에 집중하고 있으며, Mature 공
정에서는 고객 중심의 디자인 인프라를 제공하고, 고수익 응용처 확대에 집중하고 있습니다. 
  
[SDC] 
 
SDC의 중소형 패널 사업은 차별화된 기술을 바탕으로 OLED 패널의 점유율을 확대하는 한
편 폴더블ㆍIT(태블릿/노트북)ㆍAuto 등 다양한 응용처의 제품 출시를 통해 시장 영역을 넓
혀 나가고 있습니다. 또한, 대형 패널 사업은 고화질, 초대형, 퀀텀닷(Quantum Dot) 등 프리
미엄 제품 중심으로 사업을 특화하고, 기술 및 생산성 향상을 지속 추진하여 사업 경쟁력을
제고하고 있습니다.",5,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p6_c1,"[Harman] 
 
Harman은 커넥티드카 제품 및 솔루션 등을 디자인하고 개발하는 전장부품 사업과 소비자
오디오 제품 및 프로페셔널 오디오 솔루션을 제공하는 라이프스타일 오디오 사업으로 구성
되어 있습니다. Harman은 전장부품 시장의 선도업체로서 완성차 업체들에게 혁신 기술을
적용한 제품을 공급하는 한편, 오디오 시장에서도 기술혁신을 통해 일반 소비자들과 음악 애
호가 사이에서 명성을 쌓아왔습니다. Harman은 시장 인지도가 높은 브랜드와 다양한 제품
군을 보유하고 있으며, 삼성전자와의 협업을 통해 차별화된 고객 경험을 제공하고 자체 개발
및 전략적 인수 등을 통해 각 사업 분야에서 경쟁력을 강화하고 있습니다. 
 
 ☞ 사업부문별 자세한 사항은 'Ⅱ. 사업의 내용'을 참고하시기 바랍니다.",6,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p7_c1,"마. 연결대상 종속회사 현황(요약) 
 
기업회계기준서(K-IFRS) 제1110호 '연결재무제표'에 의한 지배회사(최상위)인 당사의 연결
대상 종속기업은 2023년말 현재 232개사입니다. 전년말 대비 6개 기업이 증가하고 6개 기업
이 감소하였습니다. 
  
(당기 연결대상회사의 변동내용) 
(단위 : 사) 
구분연결대상회사수 주요
종속회사수 기초 증가 감소 기말
상장 - - - - -
비상장 232 6 6 232 146
합계 232 6 6 232 146
※상세 현황은 '상세표-1. 연결대상 종속회사 현황(상세)' 참조 
구 분 자회사 사 유
신규
연결SVIC 62호 신기술투자조합 설립
반도체 생태계 일반 사모 투자신탁 설립
Samsung Federal, Inc. (SFI) 설립
Samsung Display America Holdings, Inc. (SDAH) 설립
eMagin Corporation 지분취득 
Roon Labs, LLC. 지분취득 
연결
제외Dacor Holdings, Inc. 합병
Dacor, Inc. 합병
Red Bend Software Ltd. 청산
Harman Finance International GP S.a.r.l 청산
Harman Finance International, SCA 청산
Harman Automotive UK Limited 청산",7,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p8_c1,"바. 중소기업 해당 여부 
 
당사는「중소기업기본법」제2조에 의한 중소기업에 해당되지 않습니다. 
  
중소기업 해당 여부 미해당 
벤처기업 해당 여부 미해당 
중견기업 해당 여부 미해당",8,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p9_c1,"사. 신용평가에 관한 사항 
  
당사는 Moody's(미국) 및 S&P(미국)로부터 신용등급 평가를 받고 있습니다. 
2023년말 현재 Moody's의 당사 평가등급은 Aa2, 전망치는 안정적(Stable)이고, S&P의 당
사 평가등급은 AA-, 전망치는 안정적(Stable)입니다. 
  
평가대상 
유가증권 평가일 평가대상 유가증권의 
신용등급 평가회사 비고
회사채 
US$ Bond 
('97년 발행, 
'27년 만기) 2021.07 AA- S&P 정기평가 
2021.08 Aa3Moody's 정기평가 
2022.08 AA- S&P 정기평가 
2022.09 Aa2Moody's 정기평가 
2023.07 AA- S&P 정기평가 
2023.08 Aa2Moody's 정기평가 
※ 신용평가등급 범위: Moody's (Aaa~C), S&P (AAA~D) 
구 분Moody's S&P
등 급 정  의 등 급 정  의 
투자
적격
등급Aaa채무상환능력 최상 
, 신용위험 최소 AAA채무상환능력이 극히 높 
음, 최고등급 
Aa1/Aa2/Aa3 채무상환능력 높음 
, 신용위험 매우 낮 
음AA+/AA/AA- 채무상환능력이 매우 높 
음
A1/A2/A3 채무상환능력 중상 
, 신용위험 낮음 A+/A/A- 채무상환능력은 충분하나 
경제 상황 악화 및 변화에 
다소 취약함 
Baa1/Baa2/ 
Baa3채무상환능력 중간 
, 신용위험 크지 않 
으나
투기적 요소가 있 
음BBB+/BBB/ 
BBB- 채무상환능력은 충분하나 
상위 등급에 비해 경제 상 
황 악화에 
좀 더 취약함 
투기
등급Ba1/Ba2/Ba3 투기적 성향, 신용 
위험 상당함 BB+/BB/BB- 가까운 장래에 채무불이 
행이 발생할 가능성은 비 
교적 낮으나 
경영, 재무, 경제 상황 악 
화에 대한 불확실성이 큼 
B1/B2/B3 투기적 성향, 신용 
위험 높음 B+/B/B- 경영, 재무, 경제 상황 악 
화에 좀 더 취약하나 
현재로서는 채무상환능력",9,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf_p10_c1,"☞ 당사의 종속기업이 발행한 회사채 및 기업어음 등에 대한 신용등급 평가결과는 
   'Ⅲ. 재무에 관한 사항'의  '7. 증권의 발행을 통한 자금조달에 관한 사항'을 
   참고하시기 바랍니다. 이 있음 
Caa투기적 성향 높음, 
신용위험 매우 높 
음CCC현재 채무불이행 가능성 
이 있으며 채무상환은 경 
영, 재무, 경제 상황이 호 
의적일 경우에만 가능함 
Ca투기적 성향 매우 
높음, 가까운 시일 
내
부도발생 가능, 원 
리금 상환가능성 
존재CC채무불이행 가능성이 높 
음, 부도 상태는 아니지만 
사실상 부도가 예상됨 
C부도 상태, 원리금 
상환가능성 낮음 C현재 채무불이행 가능성 
이 매우 높으며 최종 회수 
율은
상위등급 채무보다 낮게 
추정됨 
 D금융채무불이행 상태 혹 
은 묵시적 계약 (imputed 
promises) 파기, 또는 파 
산 신청 혹은 이와 유사한 
상태",10,1,[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf
